0,181,232
0,242,147
0,226,142
28,135,0
7,140,0
28,158,0
204,206,0
201,211,0
226,224,0
234,170,0
234,186,0
252,183,0
168,91,0
145,63,0
130,58,0
112,255,86
155,255,86
86,255,81
255,217,70
132,105,0
255,235,73
102,255,228
96,255,237
53,250,255
158,255,147
144,255,136
147,255,140
225,255,82
255,216,10
255,255,62
141,113,0
208,177,0
214,75,0
34,255,246
0,215,244
25,255,251
255,250,132
245,255,180
255,249,157
255,22,140
242,0,133
231,0,155
255,132,11
255,192,2
255,163,19
84,0,223
165,0,251
255,251,10
253,53,30
253,40,32
255,38,25
248,158,0
253,176,70
253,130,75
255,156,229
244,75,255
249,90,252
66,144,0
0,110,3
113,255,25
110,126,253
134,195,253
133,255,156
30,241,0
51,209,0
44,226,0
253,178,54
255,173,42
255,202,18
241,27,255
251,2,251
150,3,253
226,63,0
252,162,70
255,56,18
253,252,157
163,229,253
118,255,136
112,255,163
255,8,178
253,216,122
