0,252,242
0,252,242
5,249,255
255,247,35
252,255,0
255,252,22
84,81,255
0,145,196
107,107,255
127,201,255
91,196,255
114,204,255
0,0,135
0,2,198
0,56,204
79,104,255
86,132,255
81,142,255
180,238,255
187,244,255
157,227,255
255,126,81
140,255,81
255,238,68
233,254,24
240,255,38
255,248,45
1,225,254
33,254,252
97,238,255
0,67,210
61,0,221
22,0,237
0,229,20
0,200,9
0,251,4
237,255,252
104,255,132
237,255,253
157,199,255
96,172,255
157,201,255
30,0,255
4,8,255
2,28,255
255,53,53
255,11,11
255,245,2
255,38,25
252,23,19
255,38,54
62,139,252
113,137,255
83,143,253
1,9,242
17,255,229
40,253,251
39,246,255
120,255,249
112,208,255
74,255,238
15,255,239
127,255,10
31,249,0
62,40,255
255,246,3
78,162,255
55,151,255
63,104,255
156,4,255
209,1,245
197,0,251
0,199,38
149,255,51
0,194,64
232,86,255
143,255,149
100,255,250
253,74,220
255,206,106
