255,249,247
255,249,249
35,30,255
0,2,255
5,5,255
155,255,244
193,252,255
219,255,249
247,247,247
249,249,249
244,244,244
249,249,249
249,249,249
255,255,255
255,252,252
255,255,252
255,247,247
255,81,185
255,66,187
255,98,126
255,235,175
255,238,198
255,242,191
254,161,148
255,195,186
255,136,107
214,255,136
195,255,166
187,255,157
27,244,255
93,255,222
33,244,255
245,245,245
245,245,245
246,246,246
195,255,251
198,255,243
136,255,242
255,17,31
255,10,53
255,25,39
255,15,39
255,15,17
255,0,20
255,25,2
255,2,2
255,11,11
253,84,37
253,34,37
255,62,34
242,249,255
245,255,251
244,255,255
25,120,253
238,1,0
253,255,231
255,255,255
253,255,239
45,255,242
90,255,251
106,255,248
237,1,5
244,30,0
253,18,83
255,3,246
253,2,242
184,1,251
255,108,28
253,236,110
255,49,32
255,252,103
255,255,104
253,243,171
253,198,55
