255,71,142
255,109,175
255,122,204
255,244,2
255,186,76
255,252,56
255,196,17
247,145,0
209,127,0
255,255,191
255,252,170
255,247,186
242,255,221
255,249,186
221,255,181
247,79,255
235,255,153
246,255,149
255,215,112
44,0,208
0,67,229
0,0,231
255,198,80
254,173,17
255,199,15
149,0,139
0,73,168
163,134,255
251,255,210
255,244,163
255,255,206
255,227,159
255,204,96
255,115,47
0,215,187
0,219,179
0,242,205
255,140,62
255,202,93
255,134,55
255,27,4
255,4,4
255,30,30
106,255,113
92,255,78
255,22,22
242,17,0
255,17,17
255,40,91
253,32,38
255,57,35
253,229,53
252,113,49
253,180,61
79,255,242
104,234,255
251,251,251
0,171,35
0,121,18
92,255,40
253,140,255
255,96,244
253,185,243
0,193,251
149,149,149
142,142,142
142,255,76
176,255,30
212,255,91
162,3,255
255,3,206
193,5,253
173,255,25
253,42,48
253,104,78
227,142,255
253,212,122
252,179,132
255,219,146
202,255,161
253,200,79
