255,204,45
255,165,28
255,175,22
61,135,255
109,178,255
73,168,255
0,56,30
0,96,2
0,79,20
255,147,234
255,178,237
255,142,221
38,247,0
5,191,0
119,255,63
142,255,170
114,255,175
86,255,168
106,255,228
180,255,223
119,255,208
0,208,88
5,192,0
70,255,38
248,255,40
171,255,44
165,254,63
255,172,63
255,164,90
255,151,1
255,252,89
186,255,15
255,249,96
234,22,0
255,17,0
238,45,0
134,255,156
170,255,244
255,187,102
106,255,162
25,255,181
27,255,165
91,34,255
106,255,113
92,255,78
255,22,22
242,17,0
255,17,17
253,75,38
255,28,35
253,22,15
92,195,0
139,207,0
0,183,46
55,255,13
35,255,76
82,255,3
255,185,200
255,134,135
253,161,200
155,255,171
127,255,248
253,171,244
255,76,242
250,1,237
255,232,79
249,255,59
255,252,73
246,1,78
249,0,48
253,2,115
255,236,78
207,255,200
250,255,171
255,253,61
253,248,23
255,255,35
253,255,142
255,243,132
253,251,117
